,City,Cloudiness,Country,Humidity,Latitude,Temperature (F),WindSpeed
505,Martapura,0,ID,94,-3.41,73.4,2.24
506,Vermillion,75,US,78,42.78,82.15,24.16
507,Wanaka,80,NZ,84,-44.7,25.95,2.04
508,Kysyl-Syr,88,RU,52,63.9,55.83,7.85
509,Lazaro Cardenas,75,MX,27,28.39,91.4,4.72
510,Ruwi,24,OM,72,23.6,89.22,4.16
511,Norden,0,DE,72,53.59,63.46,8.05
512,Odesa,75,LT,93,54.5,66.2,6.93
513,Hambantota,20,LK,100,6.12,78.69,16.02
514,Clinton,40,US,70,41.84,82.99,5.82
515,Los Llanos de Aridane,0,ES,68,28.66,71.6,16.11
516,Barcelona,20,ES,88,41.38,78.8,10.29
517,Cayenne,20,GF,70,4.94,84.2,11.41
518,Khandbari,48,NP,64,27.38,45.93,1.92
519,Lithgow,0,AU,92,-33.48,26.6,4.83
520,Beira,75,ES,93,43.2,63.45,1.12
521,Sitka,44,US,77,37.17,84.18,9.98
522,Katima Mulilo,8,NA,39,-17.5,62.22,8.75
523,Le Port,0,FR,49,42.87,58.71,0.58
524,Iberia,0,PE,44,-11.41,88.86,3.04
525,Bratsk,32,RU,81,56.15,50.0,8.95
526,Olenino,64,RU,77,56.21,68.7,8.86
527,Karpogory,92,RU,98,64.0,62.22,1.92
528,La Joya,20,MX,48,19.61,76.62,2.93
529,Gallup,1,US,53,35.53,79.48,9.17
530,Burnie,88,AU,100,-41.05,53.49,21.05
531,San Policarpo,92,PH,100,12.18,77.43,17.25
532,Jaszkarajeno,0,HU,60,47.05,68.86,4.7
533,Zenzeli,88,RU,66,45.92,76.71,3.94
534,Ibra,0,OM,40,22.69,88.5,5.17
535,Marienburg,0,DE,63,52.12,66.6,1.12
536,Barra do Corda,0,BR,47,-5.5,84.18,5.95
537,Polunochnoye,8,RU,84,60.87,58.98,3.49
538,Kulhudhuffushi,88,MV,100,6.62,79.5,18.14
539,Loa Janan,92,ID,83,-0.58,77.79,3.15
540,Ucluelet,5,CA,72,48.94,68.0,5.82
541,Snezhnogorsk,40,RU,87,69.19,59.0,2.24
542,Ponte de Sor,68,PT,74,39.25,67.98,8.52
543,Sinyavino,0,RU,64,59.91,68.0,2.26
544,Alyangula,8,AU,100,-13.85,71.85,9.53
545,Inhambane,88,MZ,93,-23.87,67.53,21.27
546,Chuguyevka,64,RU,98,44.17,68.43,2.82
